subject,fold,balanced_accuracy,best_val_bacc,stopped_epoch,n_train,n_test
98,3,0.8,0.6666666666666666,22,36,9
98,4,0.5,0.5,16,36,9
99,0,0.5,0.6666666666666666,16,36,9
99,1,0.7,0.8333333333333333,21,36,9
99,2,0.55,1.0,22,36,9
99,3,0.5,0.5,16,36,9
99,4,0.5,0.5,16,36,9
100,0,0.75,1.0,31,28,8
100,1,0.875,1.0,39,29,7
100,2,0.25,0.8333333333333333,24,29,7
100,3,0.875,1.0,33,29,7
100,4,0.5833333333333333,0.8333333333333333,27,29,7
101,0,1.0,0.8333333333333333,25,36,9
101,1,0.625,0.8333333333333333,18,36,9
101,2,0.775,1.0,23,36,9
101,3,0.9,1.0,39,36,9
101,4,0.875,1.0,32,36,9
102,0,0.5,0.75,16,33,9
102,1,0.4,0.6666666666666666,18,33,9
102,2,0.375,1.0,23,34,8
102,3,0.625,0.8333333333333333,25,34,8
102,4,0.625,0.6666666666666666,19,34,8
103,0,0.4,0.6666666666666666,17,36,9
103,1,0.65,0.6666666666666666,24,36,9
103,2,0.675,1.0,19,36,9
103,3,0.5,0.5,16,36,9
103,4,0.65,1.0,29,36,9
104,0,0.75,0.5,16,33,9
104,1,0.5,0.3333333333333333,16,33,9
104,2,0.5,0.3333333333333333,16,34,8
104,3,0.75,0.6666666666666666,21,34,8
104,4,0.625,0.6666666666666666,23,34,8
105,0,0.65,0.5833333333333333,19,33,9
105,1,0.675,1.0,27,33,9
105,2,1.0,1.0,23,34,8
105,3,0.75,1.0,21,34,8
105,4,0.5,0.8333333333333333,24,34,8
106,0,0.45,0.5,25,34,9
106,1,0.5,0.5,16,34,9
106,2,0.525,0.5,16,34,9
106,3,0.5,0.8333333333333333,25,35,8
106,4,0.625,0.8333333333333333,24,35,8
107,0,0.425,1.0,16,32,9
107,1,0.5,0.5,16,33,8
107,2,0.625,0.6666666666666666,17,33,8
107,3,0.5,0.5,16,33,8
107,4,0.375,0.75,38,33,8
108,0,0.75,0.6666666666666666,20,36,9
108,1,0.425,0.5,21,36,9
108,2,0.425,0.8333333333333333,31,36,9
108,3,0.775,0.8333333333333333,21,36,9
108,4,0.425,0.8333333333333333,24,36,9
109,0,0.8,0.6666666666666666,26,36,9
109,1,0.625,0.5,16,36,9
109,2,0.425,0.6666666666666666,17,36,9
109,3,0.35,1.0,25,36,9
109,4,0.5,0.5,16,36,9
